Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
498,10.04711216,9.185862915,9.356065891,9.009279381,8.613246296
501,10.01251156,9.164084345,9.333865068,8.980551021,8.593998178
504,9.985020503,9.132563503,9.313577177,8.948119293,8.561079007
507,9.955993976,9.111653126,9.275568211,8.919451855,8.590646313
510,9.927913346,9.078348927,9.255427735,8.889379155,8.559067294
513,9.89831837,9.049077442,9.23149103,8.864532389,8.52811556
516,9.866528084,9.019822551,9.182679947,8.837736295,8.501041264
519,9.839008679,9.002139657,9.174299478,8.810611647,8.500595206
522,9.808716998,8.964764848,9.163814329,8.777802431,8.452875499
525,9.780023491,8.945451422,9.124947252,8.748836892,8.462239373
528,9.751990874,8.917636512,9.109486396,8.726043249,8.409646821
531,9.723616737,8.896500811,9.087434948,8.689497229,8.388723116
534,9.696130119,8.86421072,9.047386706,8.670759871,8.338468718
537,9.669307798,8.833569393,9.041527965,8.641700011,8.362480397
540,9.640802032,8.819988847,9.014992887,8.608674057,8.330088715
543,9.610177105,8.788388727,8.984865292,8.588799628,8.3120411
546,9.584225157,8.761881037,8.95277452,8.559976768,8.332076742
549,9.55974315,8.735580137,8.936827815,8.534204059,8.303743758
552,9.52749895,8.713488021,8.912557991,8.505268693,8.27551224
555,9.501807813,8.688329685,8.883010165,8.479234438,8.237511624
558,9.475193836,8.664144028,8.864193997,8.457401914,8.234527742
561,9.449849473,8.640560594,8.838011568,8.430696037,8.236569801
564,9.419288605,8.622082304,8.816511424,8.403514485,8.192925982
567,9.393944601,8.589723676,8.791132953,8.381160939,8.172886531
570,9.372304121,8.566754783,8.7674326,8.357703936,8.184427511
573,9.343773288,8.541953142,8.744382829,8.331778895,8.165733648
576,9.315363445,8.521793029,8.729592198,8.304424921,8.107285943
579,9.287796265,8.492833181,8.702139618,8.27967899,8.150241684
582,9.261009962,8.470123788,8.679990694,8.255180812,8.101282469
585,9.233989025,8.455429332,8.657818619,8.233503036,8.083396052
588,9.215955184,8.421498971,8.629994033,8.209366709,8.064279289
591,9.188703964,8.394920857,8.605695891,8.182369056,8.066657495
594,9.154830117,8.382044529,8.591695369,8.159807097,8.033111635
597,9.137084462,8.352474716,8.5599475,8.132590651,8.042254566
600,9.110700546,8.332661674,8.533183027,8.10674282,7.984436373
603,9.085892205,8.312526113,8.513397517,8.089205402,7.994413508
606,9.060546242,8.281885904,8.4921974,8.061409852,7.988057843
609,9.036507889,8.265047529,8.481044271,8.038185107,7.928376076
