Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
612,8.194823509,7.436014297,7.722069866,7.245312352,7.58019703
615,8.17957375,7.427749755,7.71513843,7.225469465,7.573967529
618,8.156838339,7.407125192,7.693248637,7.209126806,7.561482866
621,8.139129334,7.386261436,7.67087447,7.19377262,7.561356493
624,8.121552744,7.372408981,7.668425126,7.175781023,7.511922129
627,8.102376868,7.354183779,7.642197959,7.155661994,7.520294222
630,8.086661292,7.327034174,7.617186154,7.136443614,7.535601417
633,8.069906721,7.312597879,7.619066244,7.119902683,7.531579346
636,8.049763516,7.300178108,7.602406386,7.101694456,7.495381894
639,8.02787338,7.273591928,7.562755379,7.085565399,7.490049466
642,8.015374049,7.257271329,7.553939052,7.069451196,7.497023564
645,7.999946819,7.239564263,7.545464579,7.052311365,7.46479375
648,7.979348396,7.229082864,7.533157328,7.035620706,7.466978625
651,7.965588002,7.206969926,7.522165757,7.018982236,7.446022022
654,7.950235625,7.194041595,7.512710235,7.00282678,7.432005137
657,7.930687392,7.175726156,7.499761577,6.985354499,7.438145084
660,7.911801922,7.156809838,7.474246665,6.969631886,7.445368399
663,7.890682264,7.136221268,7.459235274,6.953079107,7.425935965
666,7.879463179,7.119917461,7.446508898,6.93877599,7.432648821
669,7.860698123,7.109154955,7.424236729,6.922996848,7.418692719
672,7.842863606,7.095500268,7.407247058,6.90741351,7.391457277
675,7.833935842,7.067733339,7.394285015,6.884945554,7.404320304
678,7.804231312,7.054526624,7.379637868,6.867073836,7.363321913
681,7.798470127,7.04715184,7.378964638,6.856506683,7.363732982
684,7.780823037,7.029439294,7.362157175,6.840549464,7.345104457
687,7.766393938,7.009855822,7.338464876,6.823486164,7.336535051
690,7.751467857,6.994441841,7.33614053,6.810777752,7.348105467
693,7.733458077,6.975453073,7.316626479,6.796249097,7.327398352
696,7.720245614,6.961788133,7.304258869,6.777006601,7.300258908
699,7.706288026,6.938079789,7.290092131,6.759824603,7.318723474
702,7.683334164,6.929024209,7.267386714,6.745472176,7.296614348
705,7.670722251,6.918099257,7.253267695,6.73310951,7.275161987
708,7.658034718,6.904572711,7.247388655,6.720145045,7.28549316
711,7.644794371,6.887861719,7.222886904,6.70385585,7.279517128
714,7.628124961,6.866460262,7.218886015,6.692909798,7.274288093
717,7.608411146,6.862818869,7.203560426,6.679305615,7.251909779
