Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
615,9.43056475,8.931587852,8.982208895,8.751050328,7.346080218
618,9.40367649,8.907722848,8.9590807,8.727221819,7.302122226
621,9.380807173,8.884786905,8.932598834,8.703830856,7.30460118
624,9.355778811,8.859972705,8.907012003,8.679017935,7.283377055
627,9.331345798,8.839474736,8.892060197,8.655186363,7.281973808
630,9.310600384,8.813396708,8.869808071,8.629032088,7.28256866
633,9.288907314,8.790197662,8.845058437,8.607099924,7.227032681
636,9.265328861,8.760861604,8.826995738,8.58166708,7.214520727
639,9.24114709,8.738794064,8.80805185,8.557494932,7.207131597
642,9.218275354,8.72052389,8.779636592,8.536382527,7.188693568
645,9.197281631,8.696022864,8.757065804,8.512865567,7.167360796
648,9.172796859,8.674841586,8.740903754,8.487227866,7.156540351
651,9.148756073,8.653156201,8.722096321,8.465964901,7.146864224
654,9.12922981,8.630579267,8.698816848,8.445495284,7.123701742
657,9.107119647,8.612789268,8.679938406,8.419247162,7.124899344
660,9.085188951,8.589247385,8.660818823,8.399076216,7.091396961
663,9.064811319,8.564625402,8.645708828,8.376421081,7.073667591
666,9.042429695,8.549021514,8.622031268,8.35274543,7.056458639
669,9.019482198,8.528885175,8.604279541,8.330081251,7.016365536
672,9.000529832,8.504565445,8.581331883,8.309416925,7.006831477
675,8.977455184,8.476829198,8.563070376,8.285856881,7.009627712
678,8.955687017,8.457061881,8.546707177,8.262826873,6.970469432
681,8.935008106,8.438983114,8.525855058,8.241169123,6.957379765
684,8.914513992,8.420421928,8.508486891,8.222679005,6.939316291
687,8.891505451,8.399277744,8.485657231,8.199957,6.922779562
690,8.873869124,8.378870497,8.46468799,8.175970822,6.907852183
693,8.849606273,8.358647804,8.448395869,8.158346591,6.914337542
696,8.828434788,8.341480613,8.435966623,8.136266951,6.881144681
699,8.808548904,8.320193899,8.414468676,8.114946531,6.888423607
702,8.789139776,8.300611696,8.397588618,8.091717246,6.861835648
705,8.768476652,8.280934792,8.379241096,8.070211254,6.872404497
708,8.746806712,8.260180537,8.364454829,8.051916822,6.858361624
711,8.729417216,8.240407025,8.341418397,8.03435741,6.840563051
714,8.709895902,8.218291563,8.320179683,8.010944874,6.823965285
717,8.689005309,8.199614407,8.30764425,7.990303264,6.815327408
